Country_Name;LE;Infmort;Sanitation;HE;Vaccination
Albania;77,350;13,800;91,200;411,7511642;98,000
Algeria;70,882;22,200;95,200;395,460208;95,000
Angola;51,464;104,300;60,100;541,3845026;97,000
Australia;82,095;3,500;100,000;5065,058481;94,000
Austria;80,937;3,300;100,000;572,3298342;76,000
Azerbaijan;70,625;31,100;82,000;44,64326079;94,000
Bangladesh;70,295;34,900;57,000;1177,080132;93,000
Belarus;72,063;4,000;94,300;458,0403918;98,000
Belgium;80,385;3,600;100,000;69,60832016;96,000
Benin;59,119;58,000;14,300;90,09732889;70,000
Bolivia;66,927;32,200;46,400;1108,649687;96,000
Bosnia and Herzegovina;76,121;6,000;95,400;790,2114265;94,000
Botswana;46,991;37,100;64,300;32,22259909;94,000
Brazil;73,618;12,900;81,300;1307,125826;99,000
Bulgaria;74,315;10,500;100,000;970,7735782;94,000
Cambodia;71,409;33,900;36,800;263,726392;93,000
Cameroon;54,588;62,400;45,200;140,0513291;82,000
Canada;81,238;4,700;99,800;1459,088219;98,000
Chile;79,573;7,200;98,900;479,9673484;90,000
China;75,200;11,700;65,300;144,0457696;99,000
Colombia;73,777;15,000;80,200;55,79256728;94,000
Congo, Dem. Rep.;49,623;88,100;31,400;111,9866329;73,000
Congo, Rep.;58,297;37,300;14,600;723,3116152;65,000
Costa Rica;79,705;8,600;93,900;797,3670564;90,000
Cote d'Ivoire;50,402;73,200;21,900;120,1661188;74,000
Croatia;76,924;4,000;98,200;83,69688802;95,000
Cyprus;79,637;2,900;100,000;2045,983021;86,000
Czech Republic;78,076;3,100;100,000;4616,979115;98,000
Denmark;80,051;3,000;100,000;552,5440429;90,000
Dominican Republic;73,233;24,200;82,000;439,0169127;79,000
Ecuador;76,193;19,700;83,100;323,1425911;96,000
Egypt, Arab Rep.;70,907;19,000;95,900;3822,397015;93,000
El Salvador;72,105;14,000;70,500;3735,646263;93,000
Estonia;76,427;2,900;95,200;43,64779542;94,000
Ethiopia;62,966;46,200;23,600;3351,723301;65,000
Finland;80,627;2,200;100,000;197,0872546;97,000
Georgia;73,945;12,500;93,300;105,9298602;93,000
Germany;80,893;3,300;100,000;231,4024941;97,000
Ghana;60,947;53,300;14,400;67,29192113;88,000
Greece;80,634;3,800;98,600;690,9303921;99,000
Haiti;62,703;56,000;24,400;1729,270146;65,000
Honduras;73,493;19,600;80,000;88,55665575;93,000
Hungary;75,063;5,300;100,000;150,1056501;99,000
Iceland;82,917;1,700;100,000;2238,810865;90,000
Iran, Islamic Rep.;73,763;15,000;89,400;148,9289919;98,000
Iraq;69,242;28,800;84,700;3435,858702;69,000
