state;year;labor_regulation;lag_labor_regulation
Andhra Pradesh;1960;-1;-1
Andhra Pradesh;1961;-1;-1
Andhra Pradesh;1962;-1;-1
Andhra Pradesh;1963;-1;-1
Andhra Pradesh;1964;-1;-1
Andhra Pradesh;1965;-1;-1
Andhra Pradesh;1966;-1;-1
Andhra Pradesh;1967;-1;-1
Andhra Pradesh;1968;-2;-1
Andhra Pradesh;1969;-2;-2
Andhra Pradesh;1970;-2;-2
Andhra Pradesh;1971;-2;-2
Andhra Pradesh;1972;-2;-2
Andhra Pradesh;1973;-2;-2
Andhra Pradesh;1974;-2;-2
Andhra Pradesh;1975;-2;-2
Andhra Pradesh;1976;-2;-2
Andhra Pradesh;1977;-2;-2
Andhra Pradesh;1978;-2;-2
Andhra Pradesh;1979;-2;-2
Andhra Pradesh;1980;-2;-2
Andhra Pradesh;1981;-2;-2
Andhra Pradesh;1982;-3;-2
Andhra Pradesh;1983;-3;-3
Andhra Pradesh;1984;-3;-3
Andhra Pradesh;1985;-3;-3
Andhra Pradesh;1986;-3;-3
Andhra Pradesh;1987;-2;-3
Andhra Pradesh;1988;-2;-2
Andhra Pradesh;1989;-2;-2
Andhra Pradesh;1990;-2;-2
Andhra Pradesh;1991;-2;-2
Andhra Pradesh;1992;-2;-2
Assam;1960;0;0
Assam;1961;0;0
Assam;1962;0;0
Assam;1963;0;0
Assam;1964;0;0
Assam;1965;0;0
Assam;1966;0;0
Assam;1967;0;0
Assam;1968;0;0
Assam;1969;0;0
Assam;1970;0;0
Assam;1971;0;0
Assam;1972;0;0
Assam;1973;0;0
Assam;1974;0;0
Assam;1975;0;0
Assam;1976;0;0
Assam;1977;0;0
Assam;1978;0;0
Assam;1979;0;0
Assam;1980;0;0
Assam;1981;0;0
Assam;1982;0;0
Assam;1983;0;0
Assam;1984;0;0
Assam;1985;0;0
Assam;1986;0;0
Assam;1987;0;0
Assam;1988;0;0
Assam;1989;0;0
Assam;1990;0;0
Assam;1991;0;0
Assam;1992;0;0
Bihar;1960;0;0
Bihar;1961;0;0
Bihar;1962;0;0
Bihar;1963;0;0
Bihar;1964;0;0
Bihar;1965;0;0
Bihar;1966;0;0
Bihar;1967;0;0
Bihar;1968;0;0
Bihar;1969;0;0
Bihar;1970;0;0
Bihar;1971;0;0
Bihar;1972;0;0
Bihar;1973;0;0
Bihar;1974;0;0
Bihar;1975;0;0
Bihar;1976;0;0
Bihar;1977;0;0
Bihar;1978;0;0
Bihar;1979;0;0
Bihar;1980;0;0
Bihar;1981;0;0
Bihar;1982;0;0
Bihar;1983;0;0
Bihar;1984;0;0
Bihar;1985;0;0
Bihar;1986;0;0
Bihar;1987;0;0
Bihar;1988;0;0
Bihar;1989;0;0
Bihar;1990;0;0
Bihar;1991;0;0
Bihar;1992;0;0
Gujarat;1960;0;0
