state;year;manufacturing_output;manufacturing_output1;logmanufacturing_output1
Andhra Pradesh;1960;318600000;9,005506078;2,197836177
Andhra Pradesh;1961;365700000;10,18765794;2,321176982
Andhra Pradesh;1962;369700000;10,11387341;2,313908086
Andhra Pradesh;1963;467400000;12,54736806;2,529510927
Andhra Pradesh;1964;550100000;14,49077224;2,67351205
Andhra Pradesh;1965;592500000;15,31489756;2,728826051
Andhra Pradesh;1966;653100000;16,56422766;2,80724541
Andhra Pradesh;1967;578100000;14,38633151;2,666278555
Andhra Pradesh;1968;710200000;17,34095691;2,853071155
Andhra Pradesh;1969;921900000;22,08569874;3,094930283
Andhra Pradesh;1970;1038200000;24,40241467;3,194682089
Andhra Pradesh;1971;1135100000;26,17579499;3,264835128
Andhra Pradesh;1972;1327200000;29,99542746;3,401044952
Andhra Pradesh;1973;1705300000;37,76116776;3,631281267
Andhra Pradesh;1974;2522100000;54,71331058;4,002107018
Andhra Pradesh;1975;2801500000;59,5342781;4,086552249
Andhra Pradesh;1976;3024400000;62,95360304;4,142397995
Andhra Pradesh;1977;3322800000;67,74056432;4,215685178
Andhra Pradesh;1978;3858900000;77,04232846;4,344354991
Andhra Pradesh;1979;4521600000;88,39679463;4,481835709
Andhra Pradesh;1980;4286100000;82,0430957;4,407244667
Andhra Pradesh;1981;5696200000;106,747194;4,670463366
Andhra Pradesh;1982;6687000000;122,6684285;4,809485012
Andhra Pradesh;1983;7230600000;129,8293591;4,866220966
Andhra Pradesh;1984;8495500000;149,2986627;5,005948747
Andhra Pradesh;1985;9947800000;171,0934813;5,142210082
Andhra Pradesh;1986;10626700000;178,8607339;5,18660748
Andhra Pradesh;1987;12434500000;204,7979628;5,322023946
Andhra Pradesh;1988;16338100000;263,2992885;5,573291364
Andhra Pradesh;1989;22151300000;349,2754969;5,855861
Andhra Pradesh;1990;29251000000;451,2321843;6,111982028
Andhra Pradesh;1991;34685400000;523,4386752;6,26041988
Andhra Pradesh;1992;34957300000;519,9551162;6,253742493
Assam;1960;310000000;29,64946962;3,389444237
Assam;1961;NA;NA;NA
Assam;1962;NA;NA;NA
Assam;1963;NA;NA;NA
Assam;1964;NA;NA;NA
Assam;1965;390000000;32,09367799;3,468659063
Assam;1966;NA;NA;NA
Assam;1967;NA;NA;NA
Assam;1968;481000000;36,17715887;3,588427949
Assam;1969;512000000;37,36855865;3,620829673
Assam;1970;422000000;29,8868316;3,397417969
Assam;1971;424000000;29,13721077;3,372016078
Assam;1972;482000000;32,38704698;3,477758558
Assam;1973;597000000;39,28286724;3,670788476
Assam;1974;1094000000;70,492852;4,255511315
Assam;1975;1168000000;73,69937947;4,29999438
